"filename", "language", "JSON", "JavaScript", "JSON with Comments", "Markdown", "HTML", "TypeScript", "Less", "XML", "SCSS", "CSS", "comment", "blank", "total"
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\login\login.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\login\login.component.ts", "TypeScript", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 6, 55
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\login\login.module.ts", "TypeScript", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 2, 41
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\login\register\register.component.html", "HTML", 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 8, 1, 94
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\login\register\register.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 6, 60
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\login\register\register.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\login\register\register.component.ts", "TypeScript", 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 2, 13, 104
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\login\staffer\staffer.component.html", "HTML", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 3, 1, 63
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\login\staffer\staffer.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 7, 68
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\login\staffer\staffer.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\login\staffer\staffer.component.ts", "TypeScript", 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 2, 13, 87
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\login\staffer\staffer.guard.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\login\staffer\staffer.guard.ts", "TypeScript", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 15, 3, 37
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\dashboard\dashboard-routing.module.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\dashboard\dashboard.component.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\dashboard\dashboard.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\dashboard\dashboard.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\dashboard\dashboard.component.ts", "TypeScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\dashboard\dashboard.module.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\main-routing.module.ts", "TypeScript", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 3, 27
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\main.component.html", "HTML", 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 2, 1, 95
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\main.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 2, 14, 94
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\main.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\main.component.ts", "TypeScript", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 6, 38
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\main.module.ts", "TypeScript", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 3, 4, 31
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\production\color\color.component.html", "HTML", 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 49, 1, 152
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\production\color\color.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 1, 8, 44
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\production\color\color.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\production\color\color.component.ts", "TypeScript", 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 21, 17, 155
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\production\production-routing.module.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 1, 3, 21
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\production\production.module.ts", "TypeScript", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 5, 53
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\production\schedule\schedule.component.html", "HTML", 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 1, 0, 73
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\production\schedule\schedule.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\production\schedule\schedule.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\production\schedule\schedule.component.ts", "TypeScript", 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 1, 11, 86
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\production\scheduleselect\scheduleselect.component.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\production\scheduleselect\scheduleselect.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\production\scheduleselect\scheduleselect.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\production\scheduleselect\scheduleselect.component.ts", "TypeScript", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 6, 39
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\production\technology\technology.component.html", "HTML", 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 1, 99
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\production\technology\technology.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 1, 8, 44
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\pages\main\production\technology\technology.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
